draw_number,numbers,bonus_number,prize_info,draw_date
11,"[1, 7, 36, 37, 41, 42]",14,"[{'rank': '1등', 'winners': '23,900,761,500원', 'prize_amount': '5', 'winners_per_prize': '4780152300.00000000'}, {'rank': '2등', 'winners': '3,983,459,700원', 'prize_amount': '11', 'winners_per_prize': '362132700.00000000'}, {'rank': '3등', 'winners': '3,983,438,800원', 'prize_amount': '428', 'winners_per_prize': '9307100.00000000'}, {'rank': '4등', 'winners': '7,964,902,000원', 'prize_amount': '38,515', 'winners_per_prize': '206800.00000000'}, {'rank': '5등', 'winners': '6,128,050,000원', 'prize_amount': '612,805', 'winners_per_prize': '10000.00000000'}]",2003년 02월 15일 추첨
12,"[2, 11, 21, 25, 39, 45]",44,"[{'rank': '1등', 'winners': '16,186,148,400원', 'prize_amount': '12', 'winners_per_prize': '1348845700.00000000'}, {'rank': '2등', 'winners': '2,697,688,800원', 'prize_amount': '27', 'winners_per_prize': '99914400.00000000'}, {'rank': '3등', 'winners': '2,697,502,500원', 'prize_amount': '1,903', 'winners_per_prize': '1417500.00000000'}, {'rank': '4등', 'winners': '5,394,519,000원', 'prize_amount': '76,845', 'winners_per_prize': '70200.00000000'}, {'rank': '5등', 'winners': '11,150,840,000원', 'prize_amount': '1,115,084', 'winners_per_prize': '10000.00000000'}]",2003년 02월 22일 추첨
13,"[22, 23, 25, 37, 38, 42]",26,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '2,599,855,800원', 'prize_amount': '6', 'winners_per_prize': '433309300.00000000'}, {'rank': '3등', 'winners': '2,599,830,000원', 'prize_amount': '450', 'winners_per_prize': '5777400.00000000'}, {'rank': '4등', 'winners': '5,197,935,600원', 'prize_amount': '29,601', 'winners_per_prize': '175600.00000000'}, {'rank': '5등', 'winners': '7,267,510,000원', 'prize_amount': '726,751', 'winners_per_prize': '10000.00000000'}]",2003년 03월 01일 추첨
14,"[2, 6, 12, 31, 33, 40]",15,"[{'rank': '1등', 'winners': '37,500,193,200원', 'prize_amount': '4', 'winners_per_prize': '9375048300.00000000'}, {'rank': '2등', 'winners': '3,650,175,200원', 'prize_amount': '28', 'winners_per_prize': '130363400.00000000'}, {'rank': '3등', 'winners': '3,650,122,700원', 'prize_amount': '1,421', 'winners_per_prize': '2568700.00000000'}, {'rank': '4등', 'winners': '7,299,410,400원', 'prize_amount': '77,736', 'winners_per_prize': '93900.00000000'}, {'rank': '5등', 'winners': '13,417,560,000원', 'prize_amount': '1,341,756', 'winners_per_prize': '10000.00000000'}]",2003년 03월 08일 추첨
15,"[3, 4, 16, 30, 31, 37]",13,"[{'rank': '1등', 'winners': '17,014,245,000원', 'prize_amount': '1', 'winners_per_prize': '17014245000.00000000'}, {'rank': '2등', 'winners': '2,835,707,200원', 'prize_amount': '16', 'winners_per_prize': '177231700.00000000'}, {'rank': '3등', 'winners': '2,835,689,900원', 'prize_amount': '509', 'winners_per_prize': '5571100.00000000'}, {'rank': '4등', 'winners': '5,668,609,200원', 'prize_amount': '39,202', 'winners_per_prize': '144600.00000000'}, {'rank': '5등', 'winners': '8,275,380,000원', 'prize_amount': '827,538', 'winners_per_prize': '10000.00000000'}]",2003년 03월 15일 추첨
16,"[6, 7, 24, 37, 38, 40]",33,"[{'rank': '1등', 'winners': '17,508,584,400원', 'prize_amount': '4', 'winners_per_prize': '4377146100.00000000'}, {'rank': '2등', 'winners': '2,918,096,400원', 'prize_amount': '12', 'winners_per_prize': '243174700.00000000'}, {'rank': '3등', 'winners': '2,918,042,400원', 'prize_amount': '862', 'winners_per_prize': '3385200.00000000'}, {'rank': '4등', 'winners': '5,835,992,500원', 'prize_amount': '47,255', 'winners_per_prize': '123500.00000000'}, {'rank': '5등', 'winners': '8,707,700,000원', 'prize_amount': '870,770', 'winners_per_prize': '10000.00000000'}]",2003년 03월 22일 추첨
17,"[3, 4, 9, 17, 32, 37]",1,"[{'rank': '1등', 'winners': '16,048,473,600원', 'prize_amount': '3', 'winners_per_prize': '5349491200.00000000'}, {'rank': '2등', 'winners': '2,674,745,100원', 'prize_amount': '9', 'winners_per_prize': '297193900.00000000'}, {'rank': '3등', 'winners': '2,674,678,200원', 'prize_amount': '1,142', 'winners_per_prize': '2342100.00000000'}, {'rank': '4등', 'winners': '5,345,141,700원', 'prize_amount': '61,651', 'winners_per_prize': '86700.00000000'}, {'rank': '5등', 'winners': '9,611,620,000원', 'prize_amount': '961,162', 'winners_per_prize': '10000.00000000'}]",2003년 03월 29일 추첨
18,"[3, 12, 13, 19, 32, 35]",29,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '2,625,259,500원', 'prize_amount': '15', 'winners_per_prize': '175017300.00000000'}, {'rank': '3등', 'winners': '2,625,256,800원', 'prize_amount': '664', 'winners_per_prize': '3953700.00000000'}, {'rank': '4등', 'winners': '5,248,834,500원', 'prize_amount': '38,453', 'winners_per_prize': '136500.00000000'}, {'rank': '5등', 'winners': '6,933,230,000원', 'prize_amount': '693,323', 'winners_per_prize': '10000.00000000'}]",2003년 04월 05일 추첨
19,"[6, 30, 38, 39, 40, 43]",26,"[{'rank': '1등', 'winners': '40,722,959,400원', 'prize_amount': '1', 'winners_per_prize': '40722959400.00000000'}, {'rank': '2등', 'winners': '4,161,899,000원', 'prize_amount': '14', 'winners_per_prize': '297278500.00000000'}, {'rank': '3등', 'winners': '4,161,856,700원', 'prize_amount': '697', 'winners_per_prize': '5971100.00000000'}, {'rank': '4등', 'winners': '8,322,738,600원', 'prize_amount': '55,154', 'winners_per_prize': '150900.00000000'}, {'rank': '5등', 'winners': '11,359,910,000원', 'prize_amount': '1,135,991', 'winners_per_prize': '10000.00000000'}]",2003년 04월 12일 추첨
20,"[10, 14, 18, 20, 23, 30]",41,"[{'rank': '1등', 'winners': '19,352,212,800원', 'prize_amount': '1', 'winners_per_prize': '19352212800.00000000'}, {'rank': '2등', 'winners': '3,225,367,600원', 'prize_amount': '14', 'winners_per_prize': '230383400.00000000'}, {'rank': '3등', 'winners': '3,225,304,800원', 'prize_amount': '888', 'winners_per_prize': '3632100.00000000'}, {'rank': '4등', 'winners': '6,448,356,200원', 'prize_amount': '48,158', 'winners_per_prize': '133900.00000000'}, {'rank': '5등', 'winners': '8,274,700,000원', 'prize_amount': '827,470', 'winners_per_prize': '10000.00000000'}]",2003년 04월 19일 추첨
21,"[6, 12, 17, 18, 31, 32]",21,"[{'rank': '1등', 'winners': '18,341,934,200원', 'prize_amount': '23', 'winners_per_prize': '797475400.00000000'}, {'rank': '2등', 'winners': '3,056,989,000원', 'prize_amount': '26', 'winners_per_prize': '117576500.00000000'}, {'rank': '3등', 'winners': '3,056,979,200원', 'prize_amount': '2,008', 'winners_per_prize': '1522400.00000000'}, {'rank': '4등', 'winners': '6,108,505,600원', 'prize_amount': '82,996', 'winners_per_prize': '73600.00000000'}, {'rank': '5등', 'winners': '11,553,680,000원', 'prize_amount': '1,155,368', 'winners_per_prize': '10000.00000000'}]",2003년 04월 26일 추첨
22,"[4, 5, 6, 8, 17, 39]",25,"[{'rank': '1등', 'winners': '18,208,779,600원', 'prize_amount': '4', 'winners_per_prize': '4552194900.00000000'}, {'rank': '2등', 'winners': '3,034,793,600원', 'prize_amount': '32', 'winners_per_prize': '94837300.00000000'}, {'rank': '3등', 'winners': '3,034,759,200원', 'prize_amount': '827', 'winners_per_prize': '3669600.00000000'}, {'rank': '4등', 'winners': '6,064,947,200원', 'prize_amount': '53,248', 'winners_per_prize': '113900.00000000'}, {'rank': '5등', 'winners': '9,379,610,000원', 'prize_amount': '937,961', 'winners_per_prize': '10000.00000000'}]",2003년 05월 03일 추첨
23,"[5, 13, 17, 18, 33, 42]",44,"[{'rank': '1등', 'winners': '17,271,790,800원', 'prize_amount': '4', 'winners_per_prize': '4317947700.00000000'}, {'rank': '2등', 'winners': '2,878,631,700원', 'prize_amount': '23', 'winners_per_prize': '125157900.00000000'}, {'rank': '3등', 'winners': '2,878,593,200원', 'prize_amount': '1,372', 'winners_per_prize': '2098100.00000000'}, {'rank': '4등', 'winners': '5,753,645,100원', 'prize_amount': '63,717', 'winners_per_prize': '90300.00000000'}, {'rank': '5등', 'winners': '9,900,810,000원', 'prize_amount': '990,081', 'winners_per_prize': '10000.00000000'}]",2003년 05월 10일 추첨
24,"[7, 8, 27, 29, 36, 43]",6,"[{'rank': '1등', 'winners': '0원', 'prize_amount': '0', 'winners_per_prize': '0.00000000'}, {'rank': '2등', 'winners': '3,168,426,600원', 'prize_amount': '18', 'winners_per_prize': '176023700.00000000'}, {'rank': '3등', 'winners': '3,168,402,500원', 'prize_amount': '925', 'winners_per_prize': '3425300.00000000'}, {'rank': '4등', 'winners': '6,333,240,000원', 'prize_amount': '52,777', 'winners_per_prize': '120000.00000000'}, {'rank': '5등', 'winners': '7,559,050,000원', 'prize_amount': '755,905', 'winners_per_prize': '10000.00000000'}]",2003년 05월 17일 추첨
25,"[2, 4, 21, 26, 43, 44]",16,"[{'rank': '1등', 'winners': '48,455,490,600원', 'prize_amount': '2', 'winners_per_prize': '24227745300.00000000'}, {'rank': '2등', 'winners': '4,907,487,200원', 'prize_amount': '28', 'winners_per_prize': '175267400.00000000'}, {'rank': '3등', 'winners': '4,907,398,100원', 'prize_amount': '1,111', 'winners_per_prize': '4417100.00000000'}, {'rank': '4등', 'winners': '9,813,239,800원', 'prize_amount': '58,903', 'winners_per_prize': '166600.00000000'}, {'rank': '5등', 'winners': '10,962,000,000원', 'prize_amount': '1,096,200', 'winners_per_prize': '10000.00000000'}]",2003년 05월 24일 추첨
26,"[4, 5, 7, 18, 20, 25]",31,"[{'rank': '1등', 'winners': '17,475,349,500원', 'prize_amount': '5', 'winners_per_prize': '3495069900.00000000'}, {'rank': '2등', 'winners': '2,912,555,100원', 'prize_amount': '39', 'winners_per_prize': '74680900.00000000'}, {'rank': '3등', 'winners': '2,912,490,000원', 'prize_amount': '1,340', 'winners_per_prize': '2173500.00000000'}, {'rank': '4등', 'winners': '5,823,511,200원', 'prize_amount': '72,252', 'winners_per_prize': '80600.00000000'}, {'rank': '5등', 'winners': '10,970,930,000원', 'prize_amount': '1,097,093', 'winners_per_prize': '10000.00000000'}]",2003년 05월 31일 추첨
27,"[1, 20, 26, 28, 37, 43]",27,"[{'rank': '1등', 'winners': '19,087,965,000원', 'prize_amount': '2', 'winners_per_prize': '9543982500.00000000'}, {'rank': '2등', 'winners': '3,181,326,400원', 'prize_amount': '16', 'winners_per_prize': '198832900.00000000'}, {'rank': '3등', 'winners': '3,181,315,500원', 'prize_amount': '579', 'winners_per_prize': '5494500.00000000'}, {'rank': '4등', 'winners': '6,360,008,200원', 'prize_amount': '33,509', 'winners_per_prize': '189800.00000000'}, {'rank': '5등', 'winners': '6,259,250,000원', 'prize_amount': '625,925', 'winners_per_prize': '10000.00000000'}]",2003년 06월 07일 추첨
28,"[9, 18, 23, 25, 35, 37]",1,"[{'rank': '1등', 'winners': '17,003,611,000원', 'prize_amount': '10', 'winners_per_prize': '1700361100.00000000'}, {'rank': '2등', 'winners': '2,833,934,400원', 'prize_amount': '22', 'winners_per_prize': '128815200.00000000'}, {'rank': '3등', 'winners': '2,833,874,400원', 'prize_amount': '1,164', 'winners_per_prize': '2434600.00000000'}, {'rank': '4등', 'winners': '5,665,473,000원', 'prize_amount': '57,870', 'winners_per_prize': '97900.00000000'}, {'rank': '5등', 'winners': '9,384,830,000원', 'prize_amount': '938,483', 'winners_per_prize': '10000.00000000'}]",2003년 06월 14일 추첨
29,"[1, 5, 13, 34, 39, 40]",11,"[{'rank': '1등', 'winners': '17,762,970,000원', 'prize_amount': '5', 'winners_per_prize': '3552594000.00000000'}, {'rank': '2등', 'winners': '2,960,493,900원', 'prize_amount': '17', 'winners_per_prize': '174146700.00000000'}, {'rank': '3등', 'winners': '2,960,473,600원', 'prize_amount': '752', 'winners_per_prize': '3936800.00000000'}, {'rank': '4등', 'winners': '5,920,110,600원', 'prize_amount': '42,347', 'winners_per_prize': '139800.00000000'}, {'rank': '5등', 'winners': '7,656,610,000원', 'prize_amount': '765,661', 'winners_per_prize': '10000.00000000'}]",2003년 06월 21일 추첨
30,"[8, 17, 20, 35, 36, 44]",4,"[{'rank': '1등', 'winners': '17,457,111,000원', 'prize_amount': '2', 'winners_per_prize': '8728555500.00000000'}, {'rank': '2등', 'winners': '2,909,517,600원', 'prize_amount': '22', 'winners_per_prize': '132250800.00000000'}, {'rank': '3등', 'winners': '2,909,515,200원', 'prize_amount': '872', 'winners_per_prize': '3336600.00000000'}, {'rank': '4등', 'winners': '5,818,862,500원', 'prize_amount': '42,319', 'winners_per_prize': '137500.00000000'}, {'rank': '5등', 'winners': '7,104,660,000원', 'prize_amount': '710,466', 'winners_per_prize': '10000.00000000'}]",2003년 06월 28일 추첨
31,"[7, 9, 18, 23, 28, 35]",32,"[{'rank': '1등', 'winners': '16,213,345,800원', 'prize_amount': '2', 'winners_per_prize': '8106672900.00000000'}, {'rank': '2등', 'winners': '2,702,222,900원', 'prize_amount': '29', 'winners_per_prize': '93180100.00000000'}, {'rank': '3등', 'winners': '2,702,169,000원', 'prize_amount': '1,130', 'winners_per_prize': '2391300.00000000'}, {'rank': '4등', 'winners': '5,402,555,000원', 'prize_amount': '58,406', 'winners_per_prize': '92500.00000000'}, {'rank': '5등', 'winners': '8,636,410,000원', 'prize_amount': '863,641', 'winners_per_prize': '10000.00000000'}]",2003년 07월 05일 추첨
32,"[6, 14, 19, 25, 34, 44]",11,"[{'rank': '1등', 'winners': '16,345,283,000원', 'prize_amount': '10', 'winners_per_prize': '1634528300.00000000'}, {'rank': '2등', 'winners': '2,724,213,800원', 'prize_amount': '49', 'winners_per_prize': '55596200.00000000'}, {'rank': '3등', 'winners': '2,724,193,500원', 'prize_amount': '1,203', 'winners_per_prize': '2264500.00000000'}, {'rank': '4등', 'winners': '5,444,323,200원', 'prize_amount': '52,704', 'winners_per_prize': '103300.00000000'}, {'rank': '5등', 'winners': '8,347,460,000원', 'prize_amount': '834,746', 'winners_per_prize': '10000.00000000'}]",2003년 07월 12일 추첨
33,"[4, 7, 32, 33, 40, 41]",9,"[{'rank': '1등', 'winners': '14,903,517,600원', 'prize_amount': '1', 'winners_per_prize': '14903517600.00000000'}, {'rank': '2등', 'winners': '2,483,919,400원', 'prize_amount': '41', 'winners_per_prize': '60583400.00000000'}, {'rank': '3등', 'winners': '2,483,912,100원', 'prize_amount': '1,063', 'winners_per_prize': '2336700.00000000'}, {'rank': '4등', 'winners': '4,963,918,400원', 'prize_amount': '52,142', 'winners_per_prize': '95200.00000000'}, {'rank': '5등', 'winners': '8,889,430,000원', 'prize_amount': '888,943', 'winners_per_prize': '10000.00000000'}]",2003년 07월 19일 추첨
34,"[9, 26, 35, 37, 40, 42]",2,"[{'rank': '1등', 'winners': '15,284,590,000원', 'prize_amount': '5', 'winners_per_prize': '3056918000.00000000'}, {'rank': '2등', 'winners': '2,547,427,500원', 'prize_amount': '45', 'winners_per_prize': '56609500.00000000'}, {'rank': '3등', 'winners': '2,547,339,200원', 'prize_amount': '1,264', 'winners_per_prize': '2015300.00000000'}, {'rank': '4등', 'winners': '5,090,961,700원', 'prize_amount': '68,519', 'winners_per_prize': '74300.00000000'}, {'rank': '5등', 'winners': '9,220,630,000원', 'prize_amount': '922,063', 'winners_per_prize': '10000.00000000'}]",2003년 07월 26일 추첨
35,"[2, 3, 11, 26, 37, 43]",39,"[{'rank': '1등', 'winners': '15,163,794,600원', 'prize_amount': '3', 'winners_per_prize': '5054598200.00000000'}, {'rank': '2등', 'winners': '2,527,298,400원', 'prize_amount': '24', 'winners_per_prize': '105304100.00000000'}, {'rank': '3등', 'winners': '2,527,217,100원', 'prize_amount': '933', 'winners_per_prize': '2708700.00000000'}, {'rank': '4등', 'winners': '5,052,154,800원', 'prize_amount': '46,866', 'winners_per_prize': '107800.00000000'}, {'rank': '5등', 'winners': '7,798,540,000원', 'prize_amount': '779,854', 'winners_per_prize': '10000.00000000'}]",2003년 08월 02일 추첨
36,"[1, 10, 23, 26, 28, 40]",31,"[{'rank': '1등', 'winners': '16,014,475,800원', 'prize_amount': '1', 'winners_per_prize': '16014475800.00000000'}, {'rank': '2등', 'winners': '2,669,078,200원', 'prize_amount': '19', 'winners_per_prize': '140477800.00000000'}, {'rank': '3등', 'winners': '2,669,030,400원', 'prize_amount': '768', 'winners_per_prize': '3475300.00000000'}, {'rank': '4등', 'winners': '5,338,115,300원', 'prize_amount': '38,321', 'winners_per_prize': '139300.00000000'}, {'rank': '5등', 'winners': '6,737,550,000원', 'prize_amount': '673,755', 'winners_per_prize': '10000.00000000'}]",2003년 08월 09일 추첨
37,"[7, 27, 30, 33, 35, 37]",42,"[{'rank': '1등', 'winners': '14,957,998,200원', 'prize_amount': '3', 'winners_per_prize': '4985999400.00000000'}, {'rank': '2등', 'winners': '2,492,998,000원', 'prize_amount': '20', 'winners_per_prize': '124649900.00000000'}, {'rank': '3등', 'winners': '2,492,927,300원', 'prize_amount': '857', 'winners_per_prize': '2908900.00000000'}, {'rank': '4등', 'winners': '4,985,538,400원', 'prize_amount': '46,334', 'winners_per_prize': '107600.00000000'}, {'rank': '5등', 'winners': '7,824,900,000원', 'prize_amount': '782,490', 'winners_per_prize': '10000.00000000'}]",2003년 08월 16일 추첨
38,"[16, 17, 22, 30, 37, 43]",36,"[{'rank': '1등', 'winners': '16,124,599,200원', 'prize_amount': '3', 'winners_per_prize': '5374866400.00000000'}, {'rank': '2등', 'winners': '2,687,432,400원', 'prize_amount': '18', 'winners_per_prize': '149301800.00000000'}, {'rank': '3등', 'winners': '2,687,414,100원', 'prize_amount': '679', 'winners_per_prize': '3957900.00000000'}, {'rank': '4등', 'winners': '5,372,882,900원', 'prize_amount': '36,377', 'winners_per_prize': '147700.00000000'}, {'rank': '5등', 'winners': '6,810,310,000원', 'prize_amount': '681,031', 'winners_per_prize': '10000.00000000'}]",2003년 08월 23일 추첨
39,"[6, 7, 13, 15, 21, 43]",8,"[{'rank': '1등', 'winners': '15,742,492,800원', 'prize_amount': '6', 'winners_per_prize': '2623748800.00000000'}, {'rank': '2등', 'winners': '2,623,747,500원', 'prize_amount': '25', 'winners_per_prize': '104949900.00000000'}, {'rank': '3등', 'winners': '2,623,696,500원', 'prize_amount': '699', 'winners_per_prize': '3753500.00000000'}, {'rank': '4등', 'winners': '5,247,020,800원', 'prize_amount': '38,752', 'winners_per_prize': '135400.00000000'}, {'rank': '5등', 'winners': '6,809,750,000원', 'prize_amount': '680,975', 'winners_per_prize': '10000.00000000'}]",2003년 08월 30일 추첨
40,"[7, 13, 18, 19, 25, 26]",6,"[{'rank': '1등', 'winners': '14,919,481,200원', 'prize_amount': '13', 'winners_per_prize': '1147652400.00000000'}, {'rank': '2등', 'winners': '2,486,576,400원', 'prize_amount': '44', 'winners_per_prize': '56513100.00000000'}, {'rank': '3등', 'winners': '2,486,529,500원', 'prize_amount': '1,055', 'winners_per_prize': '2356900.00000000'}, {'rank': '4등', 'winners': '4,972,188,400원', 'prize_amount': '65,081', 'winners_per_prize': '76400.00000000'}, {'rank': '5등', 'winners': '7,983,740,000원', 'prize_amount': '798,374', 'winners_per_prize': '10000.00000000'}]",2003년 09월 06일 추첨
