draw_number,numbers,bonus_number,prize_info,draw_date
314,"[15, 17, 19, 34, 38, 41]",2,"[{'rank': '1등', 'winners': '9,963,073,200원', 'prize_amount': '6', 'winners_per_prize': '1660512200.00000000'}, {'rank': '2등', 'winners': '1,660,512,216원', 'prize_amount': '24', 'winners_per_prize': '69188009.00000000'}, {'rank': '3등', 'winners': '1,660,512,348원', 'prize_amount': '1,067', 'winners_per_prize': '1556244.00000000'}, {'rank': '4등', 'winners': '3,321,075,784원', 'prize_amount': '54,892', 'winners_per_prize': '60502.00000000'}, {'rank': '5등', 'winners': '4,558,925,000원', 'prize_amount': '911,785', 'winners_per_prize': '5000.00000000'}]",2008년 12월 06일 추첨
315,"[1, 13, 33, 35, 43, 45]",23,"[{'rank': '1등', 'winners': '10,469,829,000원', 'prize_amount': '8', 'winners_per_prize': '1308728625.00000000'}, {'rank': '2등', 'winners': '1,744,971,520원', 'prize_amount': '32', 'winners_per_prize': '54530360.00000000'}, {'rank': '3등', 'winners': '1,744,971,902원', 'prize_amount': '1,063', 'winners_per_prize': '1641554.00000000'}, {'rank': '4등', 'winners': '3,489,948,837원', 'prize_amount': '56,207', 'winners_per_prize': '62091.00000000'}, {'rank': '5등', 'winners': '4,719,875,000원', 'prize_amount': '943,975', 'winners_per_prize': '5000.00000000'}]",2008년 12월 13일 추첨
316,"[10, 11, 21, 27, 31, 39]",43,"[{'rank': '1등', 'winners': '10,041,518,400원', 'prize_amount': '6', 'winners_per_prize': '1673586400.00000000'}, {'rank': '2등', 'winners': '1,673,586,404원', 'prize_amount': '29', 'winners_per_prize': '57709876.00000000'}, {'rank': '3등', 'winners': '1,673,587,740원', 'prize_amount': '1,398', 'winners_per_prize': '1197130.00000000'}, {'rank': '4등', 'winners': '3,347,188,252원', 'prize_amount': '68,356', 'winners_per_prize': '48967.00000000'}, {'rank': '5등', 'winners': '5,301,020,000원', 'prize_amount': '1,060,204', 'winners_per_prize': '5000.00000000'}]",2008년 12월 20일 추첨
317,"[3, 10, 11, 22, 36, 39]",8,"[{'rank': '1등', 'winners': '10,305,034,200원', 'prize_amount': '4', 'winners_per_prize': '2576258550.00000000'}, {'rank': '2등', 'winners': '1,717,505,700원', 'prize_amount': '25', 'winners_per_prize': '68700228.00000000'}, {'rank': '3등', 'winners': '1,717,506,624원', 'prize_amount': '1,132', 'winners_per_prize': '1517232.00000000'}, {'rank': '4등', 'winners': '3,435,018,680원', 'prize_amount': '57,565', 'winners_per_prize': '59672.00000000'}, {'rank': '5등', 'winners': '4,892,500,000원', 'prize_amount': '978,500', 'winners_per_prize': '5000.00000000'}]",2008년 12월 27일 추첨
318,"[2, 17, 19, 20, 34, 45]",21,"[{'rank': '1등', 'winners': '10,866,929,400원', 'prize_amount': '9', 'winners_per_prize': '1207436600.00000000'}, {'rank': '2등', 'winners': '1,811,154,912원', 'prize_amount': '28', 'winners_per_prize': '64684104.00000000'}, {'rank': '3등', 'winners': '1,811,155,261원', 'prize_amount': '1,381', 'winners_per_prize': '1311481.00000000'}, {'rank': '4등', 'winners': '3,622,336,887원', 'prize_amount': '64,077', 'winners_per_prize': '56531.00000000'}, {'rank': '5등', 'winners': '5,220,315,000원', 'prize_amount': '1,044,063', 'winners_per_prize': '5000.00000000'}]",2009년 01월 03일 추첨
319,"[5, 8, 22, 28, 33, 42]",37,"[{'rank': '1등', 'winners': '10,678,296,900원', 'prize_amount': '5', 'winners_per_prize': '2135659380.00000000'}, {'rank': '2등', 'winners': '1,779,716,172원', 'prize_amount': '26', 'winners_per_prize': '68450622.00000000'}, {'rank': '3등', 'winners': '1,779,716,485원', 'prize_amount': '1,151', 'winners_per_prize': '1546235.00000000'}, {'rank': '4등', 'winners': '3,559,465,170원', 'prize_amount': '59,490', 'winners_per_prize': '59833.00000000'}, {'rank': '5등', 'winners': '4,920,430,000원', 'prize_amount': '984,086', 'winners_per_prize': '5000.00000000'}]",2009년 01월 10일 추첨
320,"[16, 19, 23, 25, 41, 45]",3,"[{'rank': '1등', 'winners': '11,026,135,800원', 'prize_amount': '2', 'winners_per_prize': '5513067900.00000000'}, {'rank': '2등', 'winners': '1,837,689,300원', 'prize_amount': '25', 'winners_per_prize': '73507572.00000000'}, {'rank': '3등', 'winners': '1,837,690,271원', 'prize_amount': '1,081', 'winners_per_prize': '1699991.00000000'}, {'rank': '4등', 'winners': '3,675,413,132원', 'prize_amount': '57,061', 'winners_per_prize': '64412.00000000'}, {'rank': '5등', 'winners': '4,953,050,000원', 'prize_amount': '990,610', 'winners_per_prize': '5000.00000000'}]",2009년 01월 17일 추첨
321,"[12, 18, 20, 21, 25, 34]",42,"[{'rank': '1등', 'winners': '11,754,816,600원', 'prize_amount': '6', 'winners_per_prize': '1959136100.00000000'}, {'rank': '2등', 'winners': '1,959,136,130원', 'prize_amount': '35', 'winners_per_prize': '55975318.00000000'}, {'rank': '3등', 'winners': '1,959,137,224원', 'prize_amount': '1,276', 'winners_per_prize': '1535374.00000000'}, {'rank': '4등', 'winners': '3,918,335,360원', 'prize_amount': '68,791', 'winners_per_prize': '56960.00000000'}, {'rank': '5등', 'winners': '5,717,630,000원', 'prize_amount': '1,143,526', 'winners_per_prize': '5000.00000000'}]",2009년 01월 24일 추첨
322,"[9, 18, 29, 32, 38, 43]",20,"[{'rank': '1등', 'winners': '11,427,268,200원', 'prize_amount': '6', 'winners_per_prize': '1904544700.00000000'}, {'rank': '2등', 'winners': '1,904,544,724원', 'prize_amount': '29', 'winners_per_prize': '65673956.00000000'}, {'rank': '3등', 'winners': '1,904,545,415원', 'prize_amount': '1,465', 'winners_per_prize': '1300031.00000000'}, {'rank': '4등', 'winners': '3,809,140,982원', 'prize_amount': '67,829', 'winners_per_prize': '56158.00000000'}, {'rank': '5등', 'winners': '5,428,700,000원', 'prize_amount': '1,085,740', 'winners_per_prize': '5000.00000000'}]",2009년 01월 31일 추첨
323,"[10, 14, 15, 32, 36, 42]",3,"[{'rank': '1등', 'winners': '11,688,203,104원', 'prize_amount': '8', 'winners_per_prize': '1461025388.00000000'}, {'rank': '2등', 'winners': '1,948,033,854원', 'prize_amount': '27', 'winners_per_prize': '72149402.00000000'}, {'rank': '3등', 'winners': '1,948,034,850원', 'prize_amount': '1,175', 'winners_per_prize': '1657902.00000000'}, {'rank': '4등', 'winners': '3,896,111,660원', 'prize_amount': '60,796', 'winners_per_prize': '64085.00000000'}, {'rank': '5등', 'winners': '5,124,400,000원', 'prize_amount': '1,024,880', 'winners_per_prize': '5000.00000000'}]",2009년 02월 07일 추첨
324,"[2, 4, 21, 25, 33, 36]",17,"[{'rank': '1등', 'winners': '11,190,782,100원', 'prize_amount': '6', 'winners_per_prize': '1865130350.00000000'}, {'rank': '2등', 'winners': '1,865,130,360원', 'prize_amount': '40', 'winners_per_prize': '46628259.00000000'}, {'rank': '3등', 'winners': '1,865,130,608원', 'prize_amount': '1,228', 'winners_per_prize': '1518836.00000000'}, {'rank': '4등', 'winners': '3,730,262,830원', 'prize_amount': '62,473', 'winners_per_prize': '59710.00000000'}, {'rank': '5등', 'winners': '5,342,855,000원', 'prize_amount': '1,068,571', 'winners_per_prize': '5000.00000000'}]",2009년 02월 14일 추첨
325,"[7, 17, 20, 32, 44, 45]",33,"[{'rank': '1등', 'winners': '10,836,734,700원', 'prize_amount': '6', 'winners_per_prize': '1806122450.00000000'}, {'rank': '2등', 'winners': '1,806,122,472원', 'prize_amount': '33', 'winners_per_prize': '54730984.00000000'}, {'rank': '3등', 'winners': '1,806,123,180원', 'prize_amount': '1,258', 'winners_per_prize': '1435710.00000000'}, {'rank': '4등', 'winners': '3,612,252,833원', 'prize_amount': '62,629', 'winners_per_prize': '57677.00000000'}, {'rank': '5등', 'winners': '5,257,265,000원', 'prize_amount': '1,051,453', 'winners_per_prize': '5000.00000000'}]",2009년 02월 21일 추첨
326,"[16, 23, 25, 33, 36, 39]",40,"[{'rank': '1등', 'winners': '10,992,807,300원', 'prize_amount': '6', 'winners_per_prize': '1832134550.00000000'}, {'rank': '2등', 'winners': '1,832,134,565원', 'prize_amount': '31', 'winners_per_prize': '59101115.00000000'}, {'rank': '3등', 'winners': '1,832,135,310원', 'prize_amount': '1,335', 'winners_per_prize': '1372386.00000000'}, {'rank': '4등', 'winners': '3,664,302,399원', 'prize_amount': '64,087', 'winners_per_prize': '57177.00000000'}, {'rank': '5등', 'winners': '5,290,930,000원', 'prize_amount': '1,058,186', 'winners_per_prize': '5000.00000000'}]",2009년 02월 28일 추첨
327,"[6, 12, 13, 17, 32, 44]",24,"[{'rank': '1등', 'winners': '10,592,097,000원', 'prize_amount': '12', 'winners_per_prize': '882674750.00000000'}, {'rank': '2등', 'winners': '1,765,349,508원', 'prize_amount': '39', 'winners_per_prize': '45265372.00000000'}, {'rank': '3등', 'winners': '1,765,350,234원', 'prize_amount': '1,242', 'winners_per_prize': '1421377.00000000'}, {'rank': '4등', 'winners': '3,530,698,485원', 'prize_amount': '63,599', 'winners_per_prize': '55515.00000000'}, {'rank': '5등', 'winners': '5,242,285,000원', 'prize_amount': '1,048,457', 'winners_per_prize': '5000.00000000'}]",2009년 03월 07일 추첨
328,"[1, 6, 9, 16, 17, 28]",24,"[{'rank': '1등', 'winners': '10,918,775,400원', 'prize_amount': '6', 'winners_per_prize': '1819795900.00000000'}, {'rank': '2등', 'winners': '1,819,795,920원', 'prize_amount': '30', 'winners_per_prize': '60659864.00000000'}, {'rank': '3등', 'winners': '1,819,796,340원', 'prize_amount': '1,380', 'winners_per_prize': '1318693.00000000'}, {'rank': '4등', 'winners': '3,639,609,630원', 'prize_amount': '66,590', 'winners_per_prize': '54657.00000000'}, {'rank': '5등', 'winners': '5,460,535,000원', 'prize_amount': '1,092,107', 'winners_per_prize': '5000.00000000'}]",2009년 03월 14일 추첨
329,"[9, 17, 19, 30, 35, 42]",4,"[{'rank': '1등', 'winners': '10,982,347,200원', 'prize_amount': '6', 'winners_per_prize': '1830391200.00000000'}, {'rank': '2등', 'winners': '1,830,391,200원', 'prize_amount': '33', 'winners_per_prize': '55466400.00000000'}, {'rank': '3등', 'winners': '1,830,391,425원', 'prize_amount': '1,215', 'winners_per_prize': '1506495.00000000'}, {'rank': '4등', 'winners': '3,660,817,336원', 'prize_amount': '62,711', 'winners_per_prize': '58376.00000000'}, {'rank': '5등', 'winners': '5,295,340,000원', 'prize_amount': '1,059,068', 'winners_per_prize': '5000.00000000'}]",2009년 03월 21일 추첨
330,"[3, 4, 16, 17, 19, 20]",23,"[{'rank': '1등', 'winners': '10,460,521,800원', 'prize_amount': '9', 'winners_per_prize': '1162280200.00000000'}, {'rank': '2등', 'winners': '1,743,420,320원', 'prize_amount': '32', 'winners_per_prize': '54481885.00000000'}, {'rank': '3등', 'winners': '1,743,421,644원', 'prize_amount': '1,431', 'winners_per_prize': '1218324.00000000'}, {'rank': '4등', 'winners': '3,486,863,250원', 'prize_amount': '69,225', 'winners_per_prize': '50370.00000000'}, {'rank': '5등', 'winners': '5,495,545,000원', 'prize_amount': '1,099,109', 'winners_per_prize': '5000.00000000'}]",2009년 03월 28일 추첨
331,"[4, 9, 14, 26, 31, 44]",39,"[{'rank': '1등', 'winners': '10,829,513,100원', 'prize_amount': '5', 'winners_per_prize': '2165902620.00000000'}, {'rank': '2등', 'winners': '1,804,918,860원', 'prize_amount': '45', 'winners_per_prize': '40109308.00000000'}, {'rank': '3등', 'winners': '1,804,919,025원', 'prize_amount': '1,365', 'winners_per_prize': '1322285.00000000'}, {'rank': '4등', 'winners': '3,609,893,322원', 'prize_amount': '64,617', 'winners_per_prize': '55866.00000000'}, {'rank': '5등', 'winners': '5,271,545,000원', 'prize_amount': '1,054,309', 'winners_per_prize': '5000.00000000'}]",2009년 04월 04일 추첨
332,"[16, 17, 34, 36, 42, 45]",3,"[{'rank': '1등', 'winners': '10,875,587,104원', 'prize_amount': '8', 'winners_per_prize': '1359448388.00000000'}, {'rank': '2등', 'winners': '1,812,597,884원', 'prize_amount': '37', 'winners_per_prize': '48989132.00000000'}, {'rank': '3등', 'winners': '1,812,598,164원', 'prize_amount': '1,098', 'winners_per_prize': '1650818.00000000'}, {'rank': '4등', 'winners': '3,625,221,637원', 'prize_amount': '59,833', 'winners_per_prize': '60589.00000000'}, {'rank': '5등', 'winners': '4,895,300,000원', 'prize_amount': '979,060', 'winners_per_prize': '5000.00000000'}]",2009년 04월 11일 추첨
333,"[5, 14, 27, 30, 39, 43]",35,"[{'rank': '1등', 'winners': '10,856,910,001원', 'prize_amount': '7', 'winners_per_prize': '1550987143.00000000'}, {'rank': '2등', 'winners': '1,809,485,028원', 'prize_amount': '36', 'winners_per_prize': '50263473.00000000'}, {'rank': '3등', 'winners': '1,809,486,315원', 'prize_amount': '1,365', 'winners_per_prize': '1325631.00000000'}, {'rank': '4등', 'winners': '3,619,017,066원', 'prize_amount': '59,991', 'winners_per_prize': '60326.00000000'}, {'rank': '5등', 'winners': '4,914,685,000원', 'prize_amount': '982,937', 'winners_per_prize': '5000.00000000'}]",2009년 04월 18일 추첨
334,"[13, 15, 21, 29, 39, 43]",33,"[{'rank': '1등', 'winners': '10,661,020,804원', 'prize_amount': '7', 'winners_per_prize': '1523002972.00000000'}, {'rank': '2등', 'winners': '1,776,836,827원', 'prize_amount': '31', 'winners_per_prize': '57317317.00000000'}, {'rank': '3등', 'winners': '1,776,837,330원', 'prize_amount': '1,055', 'winners_per_prize': '1684206.00000000'}, {'rank': '4등', 'winners': '3,553,695,474원', 'prize_amount': '52,311', 'winners_per_prize': '67934.00000000'}, {'rank': '5등', 'winners': '4,451,460,000원', 'prize_amount': '890,292', 'winners_per_prize': '5000.00000000'}]",2009년 04월 25일 추첨
335,"[5, 9, 16, 23, 26, 45]",21,"[{'rank': '1등', 'winners': '10,187,462,400원', 'prize_amount': '5', 'winners_per_prize': '2037492480.00000000'}, {'rank': '2등', 'winners': '1,697,910,424원', 'prize_amount': '28', 'winners_per_prize': '60639658.00000000'}, {'rank': '3등', 'winners': '1,697,911,566원', 'prize_amount': '1,222', 'winners_per_prize': '1389453.00000000'}, {'rank': '4등', 'winners': '3,395,820,946원', 'prize_amount': '60,578', 'winners_per_prize': '56057.00000000'}, {'rank': '5등', 'winners': '5,009,635,000원', 'prize_amount': '1,001,927', 'winners_per_prize': '5000.00000000'}]",2009년 05월 02일 추첨
336,"[3, 5, 20, 34, 35, 44]",16,"[{'rank': '1등', 'winners': '10,113,795,900원', 'prize_amount': '6', 'winners_per_prize': '1685632650.00000000'}, {'rank': '2등', 'winners': '1,685,632,650원', 'prize_amount': '30', 'winners_per_prize': '56187755.00000000'}, {'rank': '3등', 'winners': '1,685,632,809원', 'prize_amount': '989', 'winners_per_prize': '1704381.00000000'}, {'rank': '4등', 'winners': '3,371,269,314원', 'prize_amount': '54,887', 'winners_per_prize': '61422.00000000'}, {'rank': '5등', 'winners': '4,678,340,000원', 'prize_amount': '935,668', 'winners_per_prize': '5000.00000000'}]",2009년 05월 09일 추첨
337,"[1, 5, 14, 18, 32, 37]",4,"[{'rank': '1등', 'winners': '10,060,004,104원', 'prize_amount': '8', 'winners_per_prize': '1257500513.00000000'}, {'rank': '2등', 'winners': '1,676,667,366원', 'prize_amount': '33', 'winners_per_prize': '50808102.00000000'}, {'rank': '3등', 'winners': '1,676,668,530원', 'prize_amount': '1,194', 'winners_per_prize': '1404245.00000000'}, {'rank': '4등', 'winners': '3,353,391,104원', 'prize_amount': '59,392', 'winners_per_prize': '56462.00000000'}, {'rank': '5등', 'winners': '4,949,560,000원', 'prize_amount': '989,912', 'winners_per_prize': '5000.00000000'}]",2009년 05월 16일 추첨
338,"[2, 13, 34, 38, 42, 45]",16,"[{'rank': '1등', 'winners': '10,150,293,000원', 'prize_amount': '3', 'winners_per_prize': '3383431000.00000000'}, {'rank': '2등', 'winners': '1,691,715,519원', 'prize_amount': '39', 'winners_per_prize': '43377321.00000000'}, {'rank': '3등', 'winners': '1,691,716,398원', 'prize_amount': '1,123', 'winners_per_prize': '1506426.00000000'}, {'rank': '4등', 'winners': '3,383,462,772원', 'prize_amount': '54,492', 'winners_per_prize': '62091.00000000'}, {'rank': '5등', 'winners': '4,650,855,000원', 'prize_amount': '930,171', 'winners_per_prize': '5000.00000000'}]",2009년 05월 23일 추첨
339,"[6, 8, 14, 21, 30, 37]",45,"[{'rank': '1등', 'winners': '9,871,005,006원', 'prize_amount': '9', 'winners_per_prize': '1096778334.00000000'}, {'rank': '2등', 'winners': '1,645,167,520원', 'prize_amount': '32', 'winners_per_prize': '51411485.00000000'}, {'rank': '3등', 'winners': '1,645,168,050원', 'prize_amount': '1,107', 'winners_per_prize': '1486150.00000000'}, {'rank': '4등', 'winners': '3,290,372,580원', 'prize_amount': '54,545', 'winners_per_prize': '60324.00000000'}, {'rank': '5등', 'winners': '4,566,145,000원', 'prize_amount': '913,229', 'winners_per_prize': '5000.00000000'}]",2009년 05월 30일 추첨
340,"[18, 24, 26, 29, 34, 38]",32,"[{'rank': '1등', 'winners': '10,075,752,302원', 'prize_amount': '7', 'winners_per_prize': '1439393186.00000000'}, {'rank': '2등', 'winners': '1,679,292,055원', 'prize_amount': '35', 'winners_per_prize': '47979773.00000000'}, {'rank': '3등', 'winners': '1,679,293,125원', 'prize_amount': '1,125', 'winners_per_prize': '1492705.00000000'}, {'rank': '4등', 'winners': '3,358,600,168원', 'prize_amount': '56,209', 'winners_per_prize': '59752.00000000'}, {'rank': '5등', 'winners': '4,653,140,000원', 'prize_amount': '930,628', 'winners_per_prize': '5000.00000000'}]",2009년 06월 06일 추첨
341,"[1, 8, 19, 34, 39, 43]",41,"[{'rank': '1등', 'winners': '10,480,454,404원', 'prize_amount': '7', 'winners_per_prize': '1497207772.00000000'}, {'rank': '2등', 'winners': '1,746,742,404원', 'prize_amount': '33', 'winners_per_prize': '52931588.00000000'}, {'rank': '3등', 'winners': '1,746,743,245원', 'prize_amount': '1,235', 'winners_per_prize': '1414367.00000000'}, {'rank': '4등', 'winners': '3,493,514,248원', 'prize_amount': '58,756', 'winners_per_prize': '59458.00000000'}, {'rank': '5등', 'winners': '4,893,800,000원', 'prize_amount': '978,760', 'winners_per_prize': '5000.00000000'}]",2009년 06월 13일 추첨
342,"[1, 13, 14, 33, 34, 43]",25,"[{'rank': '1등', 'winners': '10,362,287,400원', 'prize_amount': '3', 'winners_per_prize': '3454095800.00000000'}, {'rank': '2등', 'winners': '1,727,047,904원', 'prize_amount': '29', 'winners_per_prize': '59553376.00000000'}, {'rank': '3등', 'winners': '1,727,048,587원', 'prize_amount': '1,177', 'winners_per_prize': '1467331.00000000'}, {'rank': '4등', 'winners': '3,454,118,033원', 'prize_amount': '56,149', 'winners_per_prize': '61517.00000000'}, {'rank': '5등', 'winners': '4,620,615,000원', 'prize_amount': '924,123', 'winners_per_prize': '5000.00000000'}]",2009년 06월 20일 추첨
343,"[1, 10, 17, 29, 31, 43]",15,"[{'rank': '1등', 'winners': '10,302,918,000원', 'prize_amount': '6', 'winners_per_prize': '1717153000.00000000'}, {'rank': '2등', 'winners': '1,717,153,017원', 'prize_amount': '29', 'winners_per_prize': '59212173.00000000'}, {'rank': '3등', 'winners': '1,717,153,616원', 'prize_amount': '1,096', 'winners_per_prize': '1566746.00000000'}, {'rank': '4등', 'winners': '3,434,316,548원', 'prize_amount': '53,794', 'winners_per_prize': '63842.00000000'}, {'rank': '5등', 'winners': '4,656,700,000원', 'prize_amount': '931,340', 'winners_per_prize': '5000.00000000'}]",2009년 06월 27일 추첨
344,"[1, 2, 15, 28, 34, 45]",38,"[{'rank': '1등', 'winners': '10,269,745,801원', 'prize_amount': '7', 'winners_per_prize': '1467106543.00000000'}, {'rank': '2등', 'winners': '1,711,624,304원', 'prize_amount': '23', 'winners_per_prize': '74418448.00000000'}, {'rank': '3등', 'winners': '1,711,624,586원', 'prize_amount': '1,106', 'winners_per_prize': '1547581.00000000'}, {'rank': '4등', 'winners': '3,423,262,128원', 'prize_amount': '56,496', 'winners_per_prize': '60593.00000000'}, {'rank': '5등', 'winners': '4,803,200,000원', 'prize_amount': '960,640', 'winners_per_prize': '5000.00000000'}]",2009년 07월 04일 추첨
345,"[15, 20, 23, 29, 39, 42]",2,"[{'rank': '1등', 'winners': '10,407,155,100원', 'prize_amount': '2', 'winners_per_prize': '5203577550.00000000'}, {'rank': '2등', 'winners': '1,734,525,884원', 'prize_amount': '38', 'winners_per_prize': '45645418.00000000'}, {'rank': '3등', 'winners': '1,734,525,896원', 'prize_amount': '1,028', 'winners_per_prize': '1687282.00000000'}, {'rank': '4등', 'winners': '3,469,080,468원', 'prize_amount': '50,722', 'winners_per_prize': '68394.00000000'}, {'rank': '5등', 'winners': '4,420,210,000원', 'prize_amount': '884,042', 'winners_per_prize': '5000.00000000'}]",2009년 07월 11일 추첨
346,"[5, 13, 14, 22, 44, 45]",33,"[{'rank': '1등', 'winners': '10,088,636,700원', 'prize_amount': '5', 'winners_per_prize': '2017727340.00000000'}, {'rank': '2등', 'winners': '1,681,439,474원', 'prize_amount': '26', 'winners_per_prize': '64670749.00000000'}, {'rank': '3등', 'winners': '1,681,439,850원', 'prize_amount': '1,146', 'winners_per_prize': '1467225.00000000'}, {'rank': '4등', 'winners': '3,362,932,755원', 'prize_amount': '54,509', 'winners_per_prize': '61695.00000000'}, {'rank': '5등', 'winners': '4,616,800,000원', 'prize_amount': '923,360', 'winners_per_prize': '5000.00000000'}]",2009년 07월 18일 추첨
347,"[3, 8, 13, 27, 32, 42]",10,"[{'rank': '1등', 'winners': '10,196,370,002원', 'prize_amount': '7', 'winners_per_prize': '1456624286.00000000'}, {'rank': '2등', 'winners': '1,699,395,036원', 'prize_amount': '38', 'winners_per_prize': '44720922.00000000'}, {'rank': '3등', 'winners': '1,699,396,078원', 'prize_amount': '1,399', 'winners_per_prize': '1214722.00000000'}, {'rank': '4등', 'winners': '3,398,843,866원', 'prize_amount': '63,761', 'winners_per_prize': '53306.00000000'}, {'rank': '5등', 'winners': '5,115,920,000원', 'prize_amount': '1,023,184', 'winners_per_prize': '5000.00000000'}]",2009년 07월 25일 추첨
348,"[3, 14, 17, 20, 24, 31]",34,"[{'rank': '1등', 'winners': '9,899,982,000원', 'prize_amount': '3', 'winners_per_prize': '3299994000.00000000'}, {'rank': '2등', 'winners': '1,649,997,018원', 'prize_amount': '37', 'winners_per_prize': '44594514.00000000'}, {'rank': '3등', 'winners': '1,649,998,168원', 'prize_amount': '1,222', 'winners_per_prize': '1350244.00000000'}, {'rank': '4등', 'winners': '3,300,006,702원', 'prize_amount': '65,694', 'winners_per_prize': '50233.00000000'}, {'rank': '5등', 'winners': '4,893,185,000원', 'prize_amount': '978,637', 'winners_per_prize': '5000.00000000'}]",2009년 08월 01일 추첨
349,"[5, 13, 14, 20, 24, 25]",36,"[{'rank': '1등', 'winners': '10,059,627,000원', 'prize_amount': '3', 'winners_per_prize': '3353209000.00000000'}, {'rank': '2등', 'winners': '1,676,604,532원', 'prize_amount': '37', 'winners_per_prize': '45313636.00000000'}, {'rank': '3등', 'winners': '1,676,605,600원', 'prize_amount': '1,168', 'winners_per_prize': '1435450.00000000'}, {'rank': '4등', 'winners': '3,353,249,718원', 'prize_amount': '59,338', 'winners_per_prize': '56511.00000000'}, {'rank': '5등', 'winners': '4,950,890,000원', 'prize_amount': '990,178', 'winners_per_prize': '5000.00000000'}]",2009년 08월 08일 추첨
350,"[1, 8, 18, 24, 29, 33]",35,"[{'rank': '1등', 'winners': '9,909,472,203원', 'prize_amount': '9', 'winners_per_prize': '1101052467.00000000'}, {'rank': '2등', 'winners': '1,651,578,710원', 'prize_amount': '23', 'winners_per_prize': '71807770.00000000'}, {'rank': '3등', 'winners': '1,651,578,705원', 'prize_amount': '1,197', 'winners_per_prize': '1379765.00000000'}, {'rank': '4등', 'winners': '3,303,200,340원', 'prize_amount': '57,420', 'winners_per_prize': '57527.00000000'}, {'rank': '5등', 'winners': '4,824,760,000원', 'prize_amount': '964,952', 'winners_per_prize': '5000.00000000'}]",2009년 08월 15일 추첨
351,"[5, 25, 27, 29, 34, 36]",33,"[{'rank': '1등', 'winners': '10,333,428,600원', 'prize_amount': '4', 'winners_per_prize': '2583357150.00000000'}, {'rank': '2등', 'winners': '1,722,238,109원', 'prize_amount': '29', 'winners_per_prize': '59387521.00000000'}, {'rank': '3등', 'winners': '1,722,238,914원', 'prize_amount': '1,137', 'winners_per_prize': '1514722.00000000'}, {'rank': '4등', 'winners': '3,444,478,368원', 'prize_amount': '55,472', 'winners_per_prize': '62094.00000000'}, {'rank': '5등', 'winners': '4,751,365,000원', 'prize_amount': '950,273', 'winners_per_prize': '5000.00000000'}]",2009년 08월 22일 추첨
352,"[5, 16, 17, 20, 26, 41]",24,"[{'rank': '1등', 'winners': '10,397,149,500원', 'prize_amount': '6', 'winners_per_prize': '1732858250.00000000'}, {'rank': '2등', 'winners': '1,732,858,257원', 'prize_amount': '29', 'winners_per_prize': '59753733.00000000'}, {'rank': '3등', 'winners': '1,732,859,062원', 'prize_amount': '1,166', 'winners_per_prize': '1486157.00000000'}, {'rank': '4등', 'winners': '3,465,732,110원', 'prize_amount': '58,931', 'winners_per_prize': '58810.00000000'}, {'rank': '5등', 'winners': '5,031,190,000원', 'prize_amount': '1,006,238', 'winners_per_prize': '5000.00000000'}]",2009년 08월 29일 추첨
353,"[11, 16, 19, 22, 29, 36]",26,"[{'rank': '1등', 'winners': '10,581,676,500원', 'prize_amount': '2', 'winners_per_prize': '5290838250.00000000'}, {'rank': '2등', 'winners': '1,763,612,757원', 'prize_amount': '29', 'winners_per_prize': '60814233.00000000'}, {'rank': '3등', 'winners': '1,763,613,134원', 'prize_amount': '1,042', 'winners_per_prize': '1692527.00000000'}, {'rank': '4등', 'winners': '3,527,249,586원', 'prize_amount': '54,217', 'winners_per_prize': '65058.00000000'}, {'rank': '5등', 'winners': '4,640,335,000원', 'prize_amount': '928,067', 'winners_per_prize': '5000.00000000'}]",2009년 09월 05일 추첨
354,"[14, 19, 36, 43, 44, 45]",1,"[{'rank': '1등', 'winners': '10,622,321,700원', 'prize_amount': '5', 'winners_per_prize': '2124464340.00000000'}, {'rank': '2등', 'winners': '1,770,386,970원', 'prize_amount': '34', 'winners_per_prize': '52070205.00000000'}, {'rank': '3등', 'winners': '1,770,387,216원', 'prize_amount': '1,014', 'winners_per_prize': '1745944.00000000'}, {'rank': '4등', 'winners': '3,540,827,466원', 'prize_amount': '54,318', 'winners_per_prize': '65187.00000000'}, {'rank': '5등', 'winners': '4,650,975,000원', 'prize_amount': '930,195', 'winners_per_prize': '5000.00000000'}]",2009년 09월 12일 추첨
355,"[5, 8, 29, 30, 35, 44]",38,"[{'rank': '1등', 'winners': '10,727,124,000원', 'prize_amount': '5', 'winners_per_prize': '2145424800.00000000'}, {'rank': '2등', 'winners': '1,787,854,008원', 'prize_amount': '24', 'winners_per_prize': '74493917.00000000'}, {'rank': '3등', 'winners': '1,787,854,184원', 'prize_amount': '1,094', 'winners_per_prize': '1634236.00000000'}, {'rank': '4등', 'winners': '3,575,719,540원', 'prize_amount': '54,130', 'winners_per_prize': '66058.00000000'}, {'rank': '5등', 'winners': '4,629,985,000원', 'prize_amount': '925,997', 'winners_per_prize': '5000.00000000'}]",2009년 09월 19일 추첨
